Apartment Name,Price,Gender,Ocupancy,Distance
ABBY LANE MANOR,1050,F,42,0.63
ABRI APARTMTS - M,1800,M,132,0.43
ABRI APARTMTS - F,1800,F,144,0.43
ALLDREDGE HOUSE,1095,M,8,0.19
ALLEN'S SUNRISE VILLAGE - M,1145,M,138,0.34
ALLEN'S SUNRISE VILLAGE - F,1250,F,144,0.34
ALPINE CHALET,1049,M,162,0.42
AMERICAN AVENUE - M,1225,M,86,0.33
AMERICAN AVENUE-F,1250,F,138,0.33
ARCADIA APARTMTS,1095,M,41,0.28
AT THE GROVE,1400,F,6,0.31
AUTUMN WINDS - M,2079,M,24,0.34
AUTUMN WINDS - F,2079,F,96,0.34
AVONLEA - M,1115,M,76,0.34
AVONLEA-F,1235,F,66,0.34
BAYSIDE MANOR,920,F,8,0.2
BIRCH PLAZA - M,1249,M,98,0.33
BIRCH PLAZA - F,1369,F,173,0.33
BIRCH WOOD I,1399,F,65,0.36
BIRCH WOOD II,1479,F,24,0.36
BLUE DOOR THE - F,995,F,24,0.38
"BLUE DOOR, THE - M",1075,M,24,0.38
BOUNTIFUL PLACE,1125,M,130,0.62
BRIARWOOD APARTMTS,1095,M,24,0.32
BRIGHTON APARTMTS - M,1350,M,108,0.55
BRIGHTON APARTMTS - F,1475,F,60,0.55
BROOKLYN APARTMTS,1095,F,144,0.33
BROOKSIDE VILLAGE - M,1899,M,60,0.49
BROOKSIDE VILLAGE - F,1899,F,86,0.49
BUNKHOUSE,1150,M,324,0.26
CAMDEN APARTMTS - M,1690,M,24,0.44
CAMDEN APARTMTS - F,1890,F,53,0.44
CARRIAGE HOUSE,1345,F,234,0.4
CARRIAGE HOUSE TOWNHOUSE,1380,F,8,0.4
"CEDARS, THE - M",1445,M,354,0.36
"CEDARS, THE - F",1695,F,444,0.32
CENTRE SQUARE - M,1399,M,304,0.46
CENTRE SQUARE - F,1399,F,546,0.53
CHAPMAN HOUSE,1340,F,7,0.4
CLARKE APARTMTS,1075,M,42,0.29
COLLEGE AVENUE APARTMTS,1150,F,8,0.32
COLONIAL HEIGHTS TOWNHOUSES,900,M,64,0.31
COLONIAL HOUSE - M,1535,M,144,0.35
COLONIAL HOUSE - F,1535,F,198,0.35
COTTONWOOD - M,1050,M,60,0.49
COTTONWOOD - F,1050,F,84,0.49
"COVE, THE - M",1325,M,224,0.46
"COVE, THE - F",1375,F,223,0.5
CREEKSIDE COTTAGES - M,1400,M,10,0.6
CREEKSIDE COTTAGES - F,1400,F,24,0.6
CRESTWOOD APARTMTS,1049,M,50,0.21
CRESTWOOD COTTAGE,1049,F,10,0.21
CRESTWOOD HOUSE,949,M,11,0.2
DAVENPORT APARTMTS,945,F,71,0.29
DELTA PHI APARTMTS,1095,M,60,0.29
"GATES, THE - M",1670,M,282,0.65
"GATES, THE - F",1740,F,300,0.65
GEORGETOWN APARTMTS,1099,M,72,0.42
GREENBRIER - M,1160,M,48,0.36
GREENBRIER - F,970,F,92,0.36
GREENBRIER HOUSE,1350,M,6,0.36
HERITAGE - M,1550,M,180,0.28
HERITAGE - F,1550,F,192,0.28
HILLCREST TOWNHOUSES - M,1225,M,64,0.31
HILLCREST TOWNHOUSES-F,1225,F,76,0.31
JACOB'S HOUSE,1260,M,11,0.3
JORDAN RIDGE,1799,M,360,0.55
KENSINGTON MANOR - M,1175,M,108,0.24
KENSINGTON MANOR - F,1275,F,108,0.24
LA JOLLA - M,1350,M,72,0.45
LA JOLLA? F,1450,F,234,0.45
"LANDING, THE - M",1800,M,148,0.6
"LANDING, THE - F",1800,F,166,0.6
LEGACY RIDGE,1799,F,288,0.51
"LODGE, THE - M",1629,M,474,0.52
"LODGE, THE - F",1629,F,550,0.52
MILANO FLATS - M,1770,M,142,0.38
MILANO FLATS - F,1770,F,142,0.38
MOUNTAIN CREST,1195,M,42,0.6
NAUVOO HOUSE I,1500,M,288,0.42
NAUVOO HOUSE II,1500,F,338,0.42
NORTHPOINT - M,1545,M,476,0.32
NORTHPOINT-F,1545,F,548,0.32
PARK VIEW APTS - M,1250,M,51,0.6
PARK VIEW APTS - F,1350,F,60,0.6
PINCOCK HOUSE,1770,M,7,0.31
"PINES, THE - M",1150,M,200,0.38
"PINES, THE - F",1150,F,126,0.38
PINNACLE POINT- M,1450,M,90,0.68
"RED DOOR, THE",1090,M,48,0.34
RIVIERA APARTMTS - M,995,M,32,0.13
RIVIERA APARTMTS - F,995,F,66,0.13
ROYAL CREST,1195,F,342,0.27
SHELBOURNE APARTMTS - M,1420,M,168,0.62
SNOWVIEW APARTMTS,1245,F,64,0.27
SOMERSET APARTMTS - M,1299,M,108,0.29
SOMERSET APARTMTS - F,1299,F,180,0.29
SUNDANCE - M,1715,M,156,0.49
SUNDANCE - F,1715,F,152,0.49
SUNSET HALL,1045,F,14,0.31
TOWERS I,1625,M,168,0.62
TOWERS II,1625,F,248,0.59
UNIVERSITY VIEW - M,1550,M,264,0.5
UNIVERSITY VIEW - F,1550,F,450,0.5
WHITFIELD HOUSE,1340,F,7,0.4
WINDSOR MANOR - M,1800,M,136,0.27
WINDSOR MANOR - F,1765,F,208,0.27
