Property,Mean_Contract_Price,Semester,Year,Management_Name,Gender
Abby Lane Manor,1100,WI,2022,Independent,F
Abby Lane Manor,1200,WI,2023,Independent,F
Abby Lane Manor,1200,WI,2024,Independent,F
Abby Lane Manor,1200,WI,2025,Independent,F
Abby Lane Manor,1100,SP,2022,Independent,F
Abby Lane Manor,1200,SP,2023,Independent,F
Abby Lane Manor,1200,SP,2024,Independent,F
Abby Lane Manor,1200,SP,2025,Independent,F
Abri Apartments - Men,1418,WI,2022,Redstone,M
Abri Apartments - Men,1360,WI,2023,Redstone,M
Abri Apartments - Men,1660,WI,2024,Redstone,M
Abri Apartments - Men,1730,WI,2025,Redstone,M
Abri Apartments - Men,1640,SP,2022,Redstone,M
Abri Apartments - Men,1565,SP,2023,Redstone,M
Abri Apartments - Men,1360,SP,2024,Redstone,M
Abri Apartments - Men,1409,SP,2025,Redstone,M
Abri Apartments - Women,1386,WI,2022,Redstone,F
Abri Apartments - Women,1610,WI,2023,Redstone,F
Abri Apartments - Women,1660,WI,2024,Redstone,F
Abri Apartments - Women,1730,WI,2025,Redstone,F
Abri Apartments - Women,1386,SP,2022,Redstone,F
Abri Apartments - Women,1610,SP,2023,Redstone,F
Abri Apartments - Women,1360,SP,2024,Redstone,F
Abri Apartments - Women,1409,SP,2025,Redstone,F
Alldredge House,1045,WI,2022,Independent,M
Alldredge House,1045,WI,2023,Independent,M
Alldredge House,1045,WI,2024,Independent,M
Alldredge House,1145,WI,2025,Independent,M
Alldredge House,1045,SP,2022,Independent,M
Alldredge House,1045,SP,2023,Independent,M
Alldredge House,1045,SP,2024,Independent,M
Alldredge House,1145,SP,2025,Independent,M
Allen's Sunrise Village - Men,1108,WI,2022,Covey,M
Allen's Sunrise Village - Men,1122,WI,2023,Covey,M
Allen's Sunrise Village - Men,1182,WI,2024,Covey,M
Allen's Sunrise Village - Men,1182,WI,2025,Covey,M
Allen's Sunrise Village - Men,1008,SP,2022,Covey,M
Allen's Sunrise Village - Men,1072,SP,2023,Covey,M
Allen's Sunrise Village - Men,1057,SP,2024,Covey,M
Allen's Sunrise Village - Men,1072,SP,2025,Covey,M
Allen's Sunrise Village - Womens,1125,WI,2022,Covey,F
Allen's Sunrise Village - Womens,1160,WI,2023,Covey,F
Allen's Sunrise Village - Womens,1225,WI,2024,Covey,F
Allen's Sunrise Village - Womens,1248,WI,2025,Covey,F
Allen's Sunrise Village - Womens,1075,SP,2022,Covey,F
Allen's Sunrise Village - Womens,1110,SP,2023,Covey,F
Allen's Sunrise Village - Womens,1123,SP,2024,Covey,F
Allen's Sunrise Village - Womens,1110,SP,2025,Covey,F
Alpine Chalet ,1085,WI,2022,Redstone,M
Alpine Chalet ,1030,WI,2023,Redstone,M
